Np_1d,h,total_time,sol_time,jacobian_time,residual_time,chol_init_time,chol_factor_time,chol_solve_time,stress_norm
2,0.041666666666666664,0.028021958000000003,0.015293000000000001,0.007642208,0.004965333000000001,0.001775375,0.0008322090000000001,7.2458e-05,1.2551244060009692
2,0.03571428571428571,0.033051250000000004,0.019241291,0.010620917,0.004834416,0.0024959160000000004,0.001180459,0.000104542,1.0817344962759337
2,0.03125,0.052735250000000004,0.0273755,0.015847084,0.006215084,0.0035904170000000003,0.001570542,0.00014558300000000002,0.9474891577946749
2,0.027777777777777776,0.052680541000000004,0.032566333,0.017400625,0.007998791,0.004881042,0.002091875,0.000182833,0.8484408179976973
2,0.023809523809523808,0.07553504200000001,0.05123225,0.024065375,0.013002042,0.010837250000000001,0.00304775,0.00026454200000000004,0.727021077960658
2,0.020833333333333332,0.109139917,0.06136379200000001,0.028879833,0.018020167,0.009640416,0.004336583000000001,0.00041354200000000003,0.6401629445425009
2,0.01818181818181818,0.12055612500000001,0.07667800000000001,0.038277917,0.017994209,0.013474709000000001,0.00632975,0.00044058300000000003,0.5582402236203801
2,0.015625,0.167778167,0.11710945900000001,0.060150917000000005,0.023811167,0.024438542,0.007909417,0.0006972090000000001,0.4837167523983415
2,0.0136986301369863,0.230388416,0.146449875,0.068875958,0.030875250000000003,0.030322250000000002,0.015235833,0.0009144590000000001,0.42457505146973723
2,0.011904761904761904,0.30024525,0.21778133400000002,0.10229729200000001,0.056365791000000005,0.041705959,0.015821875000000003,0.0012672920000000002,0.3702425408460592
2,0.010309278350515464,0.41123425,0.297391958,0.161450584,0.054105708,0.051628042000000006,0.028212541,0.0017789580000000002,0.3211589385209286
2,0.009009009009009009,0.5629829580000001,0.39384725000000004,0.18350312500000002,0.08292041700000001,0.090569833,0.034443542,0.002071416,0.28064972581930425
2,0.0078125,0.7524531250000001,0.5363035,0.25834,0.121563792,0.10201312500000001,0.051005708000000004,0.0030253330000000003,0.24441994632117678
4,0.041666666666666664,0.26824483400000004,0.202996125,0.139027125,0.030336750000000003,0.00827475,0.024839834,0.00049025,0.1396884890482714
4,0.03571428571428571,0.295514209,0.23384500000000003,0.175791417,0.0374255,0.009259667000000001,0.010873292000000001,0.00032412500000000003,0.09076904711242959
4,0.03125,0.370513417,0.312064125,0.22168520800000002,0.048233250000000005,0.012317417,0.029178750000000003,0.000488208,0.059435197032065554
4,0.027777777777777776,0.5195194590000001,0.437278459,0.333011166,0.06505504100000001,0.018780167,0.019502750000000003,0.0006302500000000001,0.042898303303594676
4,0.023809523809523808,0.7354962500000001,0.5966529580000001,0.436355833,0.110133375,0.0255095,0.023455458000000002,0.000935625,0.027825384493898642
4,0.020833333333333332,0.8624014160000001,0.7208760000000001,0.5339716250000001,0.110875791,0.03403375,0.039455708,0.002222209,0.018340103949846483
4,0.01818181818181818,1.241866708,1.049737833,0.748274,0.154625375,0.050541084,0.09406670900000001,0.001786667,0.012216232503357877
4,0.015625,1.708399333,1.447875292,1.019928875,0.21221583400000002,0.071855916,0.14071125,0.002642292,0.007852403373569055
4,0.0136986301369863,2.306268084,1.990437709,1.433449208,0.2499105,0.10661287500000001,0.19529812500000002,0.003918958,0.005514682690850292
4,0.011904761904761904,2.9819100830000003,2.542971166,1.815403209,0.36418116700000003,0.153217917,0.20428733400000001,0.004697417000000001,0.0035510420117961204
4,0.010309278350515464,3.962423042,3.407290917,2.362005792,0.46173754100000003,0.220259542,0.354676292,0.007153792000000001,0.0023593061112536133
4,0.009009009009009009,5.3471155,4.543290584,3.0602113330000003,0.608597167,0.312945375,0.548876084,0.010155417,0.001568875124684363
4,0.0078125,7.429850625,6.421150584,4.112852709,0.915132417,0.5022873330000001,0.8711801250000001,0.016207584,0.0010323495864189727
6,0.041666666666666664,1.8888746250000001,1.6752102500000001,1.378240084,0.267580333,0.014932375000000001,0.014023792,0.00029358300000000004,0.028950125360604997
6,0.03571428571428571,2.617056292,2.345354958,1.9303450830000002,0.34656225,0.032574541000000005,0.035046792,0.000475083,0.014536358961561495
6,0.03125,3.13606525,2.8326041670000004,2.3493877920000004,0.411251833,0.030550916,0.040243417000000004,0.0007855410000000001,0.008631835122108435
6,0.027777777777777776,4.510580709,3.9901472080000002,3.3089733330000004,0.550286083,0.047152166,0.080305417,0.002547292,0.005093519920584628
6,0.023809523809523808,5.555093666,4.908632792000001,4.082674875,0.661401958,0.066191125,0.096630875,0.0014231670000000001,0.0026078050764326488
6,0.020833333333333332,6.404087542,5.771487667000001,4.775276667,0.785179375,0.089921,0.118505708,0.002008417,0.0013583880916375043
6,0.01818181818181818,8.034437583,7.204388709000001,5.896429083,0.9804773750000001,0.12933070900000002,0.194302416,0.0030544170000000002,0.000703339141438607
6,0.015625,10.996028167,9.907202583,8.133137584,1.252895958,0.169198875,0.345687834,0.004836458,0.00032714357582488366
6,0.0136986301369863,14.409413541000001,13.038906375000002,10.580388000000001,1.7138355410000001,0.236148083,0.499116541,0.007812042000000001,0.00018269006838177287
6,0.011904761904761904,18.670577417,16.811525709,13.273967917,2.1665023750000003,0.337914834,1.013494917,0.015692375,8.474920734678964e-05
6,0.010309278350515464,26.533522333,23.450931459000003,18.90838725,3.0100052080000004,0.48824225000000004,1.027042875,0.013253000000000001,4.451262014273805e-05
6,0.009009009009009009,33.356780958,30.079466625000002,24.083518417,3.707403917,0.6732281250000001,1.5898789160000002,0.018709458,2.191305142094062e-05
6,0.0078125,44.725809167,40.528546958,31.916852917000003,5.022713917,0.936148583,2.617535417,0.028518042,1.0754122952758949e-05
